customer_id,signup_date,region,acquisition_channel,plan_type,monthly_price,subscription_status,sub_start_date,sub_end_date,frequency,total_revenue,last_transaction_date,recency_days,tenure_days,is_churned,avg_region_revenue,region_spend_rank
542,2024-01-03,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-01-03,,32,2400.0,2026-07-21,11,941,0,558.3484162895927,1
941,2024-01-08,Asia-Pacific,Referral,Premium,75.0,Active,2024-01-08,,32,2400.0,2026-07-26,6,936,0,558.3484162895927,2
514,2024-01-15,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-01-15,,31,2325.0,2026-07-03,29,929,0,558.3484162895927,3
268,2024-02-22,Asia-Pacific,Referral,Premium,75.0,Active,2024-02-22,,30,2250.0,2026-07-11,21,891,0,558.3484162895927,4
180,2024-04-29,Asia-Pacific,Social Media,Premium,75.0,Active,2024-04-29,,28,2100.0,2026-07-18,14,824,0,558.3484162895927,5
485,2024-04-22,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-04-22,,28,2100.0,2026-07-11,21,831,0,558.3484162895927,6
131,2024-06-11,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-06-11,,27,2025.0,2026-07-31,1,781,0,558.3484162895927,7
526,2024-06-06,Asia-Pacific,Referral,Premium,75.0,Active,2024-06-06,,27,2025.0,2026-07-26,6,786,0,558.3484162895927,8
686,2024-06-07,Asia-Pacific,Social Media,Premium,75.0,Active,2024-06-07,,27,2025.0,2026-07-27,5,785,0,558.3484162895927,9
736,2024-06-15,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-06-15,,26,1950.0,2026-07-05,27,777,0,558.3484162895927,10
427,2024-07-20,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-07-20,,25,1875.0,2026-07-10,22,742,0,558.3484162895927,11
289,2024-10-29,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-10-29,,22,1650.0,2026-07-21,11,641,0,558.3484162895927,12
530,2024-10-19,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-10-19,,22,1650.0,2026-07-11,21,651,0,558.3484162895927,13
900,2024-10-27,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-10-27,,22,1650.0,2026-07-19,13,643,0,558.3484162895927,14
634,2024-12-18,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-12-18,,20,1500.0,2026-07-11,21,591,0,558.3484162895927,15
1084,2024-12-19,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-12-19,,20,1500.0,2026-07-12,20,590,0,558.3484162895927,16
262,2025-01-31,Asia-Pacific,Paid Ads,Premium,75.0,Active,2025-01-31,,19,1425.0,2026-07-25,7,547,0,558.3484162895927,17
965,2025-03-29,Asia-Pacific,Organic Search,Premium,75.0,Active,2025-03-29,,17,1275.0,2026-07-22,10,490,0,558.3484162895927,18
755,2025-04-10,Asia-Pacific,Social Media,Premium,75.0,Active,2025-04-10,,16,1200.0,2026-07-04,28,478,0,558.3484162895927,19
