customer_id,signup_date,region,acquisition_channel,plan_type,monthly_price,subscription_status,sub_start_date,sub_end_date,frequency,total_revenue,last_transaction_date,recency_days,tenure_days,is_churned,avg_region_revenue,region_spend_rank,r_score,f_score,m_score,rfm_score,cluster_id,customer_segment,churn_probability,risk_category
542,2024-01-03,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-01-03,,32,2400.0,2026-07-21,11,941,0,558.3484162895927,1,4,5,5,14,2,VIP,0.0,Low
941,2024-01-08,Asia-Pacific,Referral,Premium,75.0,Active,2024-01-08,,32,2400.0,2026-07-26,6,936,0,558.3484162895927,2,5,5,5,15,2,VIP,0.0,Low
514,2024-01-15,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-01-15,,31,2325.0,2026-07-03,29,929,0,558.3484162895927,3,2,5,5,12,2,VIP,0.0,Low
268,2024-02-22,Asia-Pacific,Referral,Premium,75.0,Active,2024-02-22,,30,2250.0,2026-07-11,21,891,0,558.3484162895927,4,3,5,5,13,2,VIP,0.0,Low
180,2024-04-29,Asia-Pacific,Social Media,Premium,75.0,Active,2024-04-29,,28,2100.0,2026-07-18,14,824,0,558.3484162895927,5,4,5,5,14,2,VIP,0.0,Low
485,2024-04-22,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-04-22,,28,2100.0,2026-07-11,21,831,0,558.3484162895927,6,3,5,5,13,2,VIP,0.0,Low
131,2024-06-11,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-06-11,,27,2025.0,2026-07-31,1,781,0,558.3484162895927,7,5,4,5,14,2,VIP,0.0,Low
526,2024-06-06,Asia-Pacific,Referral,Premium,75.0,Active,2024-06-06,,27,2025.0,2026-07-26,6,786,0,558.3484162895927,8,5,4,5,14,2,VIP,0.0,Low
686,2024-06-07,Asia-Pacific,Social Media,Premium,75.0,Active,2024-06-07,,27,2025.0,2026-07-27,5,785,0,558.3484162895927,9,5,4,5,14,2,VIP,0.0,Low
736,2024-06-15,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-06-15,,26,1950.0,2026-07-05,27,777,0,558.3484162895927,10,2,4,5,11,2,VIP,0.0,Low
427,2024-07-20,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-07-20,,25,1875.0,2026-07-10,22,742,0,558.3484162895927,11,3,4,5,12,2,VIP,0.0,Low
289,2024-10-29,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-10-29,,22,1650.0,2026-07-21,11,641,0,558.3484162895927,12,4,3,5,12,2,VIP,0.0,Low
530,2024-10-19,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-10-19,,22,1650.0,2026-07-11,21,651,0,558.3484162895927,13,3,3,5,11,2,VIP,0.0,Low
900,2024-10-27,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-10-27,,22,1650.0,2026-07-19,13,643,0,558.3484162895927,14,4,3,5,12,2,VIP,0.0,Low
634,2024-12-18,Asia-Pacific,Organic Search,Premium,75.0,Active,2024-12-18,,20,1500.0,2026-07-11,21,591,0,558.3484162895927,15,3,3,5,11,2,VIP,0.0,Low
1084,2024-12-19,Asia-Pacific,Paid Ads,Premium,75.0,Active,2024-12-19,,20,1500.0,2026-07-12,20,590,0,558.3484162895927,16,3,3,5,11,2,VIP,0.0,Low
262,2025-01-31,Asia-Pacific,Paid Ads,Premium,75.0,Active,2025-01-31,,19,1425.0,2026-07-25,7,547,0,558.3484162895927,17,5,3,5,13,2,VIP,0.0,Low
965,2025-03-29,Asia-Pacific,Organic Search,Premium,75.0,Active,2025-03-29,,17,1275.0,2026-07-22,10,490,0,558.3484162895927,18,4,2,5,11,2,VIP,0.0,Low
755,2025-04-10,Asia-Pacific,Social Media,Premium,75.0,Active,2025-04-10,,16,1200.0,2026-07-04,28,478,0,558.3484162895927,19,2,2,5,9,2,VIP,0.0,Low
906,2025-05-06,Asia-Pacific,Paid Ads,Premium,75.0,Active,2025-05-06,,16,1200.0,2026-07-30,2,452,0,558.3484162895927,20,5,2,5,12,2,VIP,0.0,Low
277,2025-05-10,Asia-Pacific,Social Media,Premium,75.0,Active,2025-05-10,,15,1125.0,2026-07-04,28,448,0,558.3484162895927,21,2,2,5,9,0,Mid Value,0.0,Low
944,2024-01-12,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-01-12,,32,1120.0,2026-07-30,2,932,0,558.3484162895927,22,5,5,5,15,3,High Value,0.0,Low
546,2024-01-29,Asia-Pacific,Social Media,Standard,35.0,Active,2024-01-29,,31,1085.0,2026-07-17,15,915,0,558.3484162895927,23,4,5,5,14,3,High Value,0.0,Low
377,2024-02-16,Asia-Pacific,Referral,Standard,35.0,Active,2024-02-16,,30,1050.0,2026-07-05,27,897,0,558.3484162895927,24,2,5,5,12,3,High Value,0.0,Low
453,2024-03-07,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-03-07,,30,1050.0,2026-07-25,7,877,0,558.3484162895927,25,5,5,5,15,3,High Value,0.0,Low
590,2024-02-27,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-02-27,,30,1050.0,2026-07-16,16,886,0,558.3484162895927,26,4,5,5,14,3,High Value,0.0,Low
512,2024-04-07,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-04-07,,29,1015.0,2026-07-26,6,846,0,558.3484162895927,27,5,5,5,15,3,High Value,0.0,Low
986,2024-03-29,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-03-29,,29,1015.0,2026-07-17,15,855,0,558.3484162895927,28,4,5,5,14,3,High Value,0.0,Low
329,2024-04-15,Asia-Pacific,Social Media,Standard,35.0,Active,2024-04-15,,28,980.0,2026-07-04,28,838,0,558.3484162895927,29,2,5,5,12,3,High Value,0.0,Low
554,2024-04-24,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-04-24,,28,980.0,2026-07-13,19,829,0,558.3484162895927,30,3,5,5,13,3,High Value,0.0,Low
749,2024-04-30,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-04-30,,28,980.0,2026-07-19,13,823,0,558.3484162895927,31,4,5,5,14,3,High Value,0.0,Low
1078,2024-04-20,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-04-20,,28,980.0,2026-07-09,23,833,0,558.3484162895927,32,3,5,5,13,3,High Value,0.0,Low
133,2024-05-14,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-05-14,,27,945.0,2026-07-03,29,809,0,558.3484162895927,33,2,4,5,11,3,High Value,0.0,Low
212,2024-05-21,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-05-21,,27,945.0,2026-07-10,22,802,0,558.3484162895927,34,3,4,5,12,3,High Value,0.0,Low
294,2024-05-23,Asia-Pacific,Social Media,Standard,35.0,Active,2024-05-23,,27,945.0,2026-07-12,20,800,0,558.3484162895927,35,3,4,5,12,3,High Value,0.0,Low
500,2024-05-28,Asia-Pacific,Referral,Standard,35.0,Active,2024-05-28,,27,945.0,2026-07-17,15,795,0,558.3484162895927,36,4,4,5,13,3,High Value,0.0,Low
533,2024-06-01,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-06-01,,27,945.0,2026-07-21,11,791,0,558.3484162895927,37,4,4,5,13,3,High Value,0.0,Low
796,2024-05-28,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-05-28,,27,945.0,2026-07-17,15,795,0,558.3484162895927,38,4,4,5,13,3,High Value,0.0,Low
851,2024-05-23,Asia-Pacific,Referral,Standard,35.0,Active,2024-05-23,,27,945.0,2026-07-12,20,800,0,558.3484162895927,39,3,4,5,12,3,High Value,0.0,Low
309,2024-06-25,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-06-25,,26,910.0,2026-07-15,17,767,0,558.3484162895927,40,3,4,4,11,3,High Value,0.0,Low
382,2024-06-16,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-06-16,,26,910.0,2026-07-06,26,776,0,558.3484162895927,41,2,4,4,10,3,High Value,0.0,Low
424,2024-06-30,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-06-30,,26,910.0,2026-07-20,12,762,0,558.3484162895927,42,4,4,4,12,3,High Value,0.0,Low
434,2024-06-25,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-06-25,,26,910.0,2026-07-15,17,767,0,558.3484162895927,43,3,4,5,12,3,High Value,0.0,Low
685,2024-06-24,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-06-24,,26,910.0,2026-07-14,18,768,0,558.3484162895927,44,3,4,5,12,3,High Value,0.0,Low
922,2024-07-10,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-07-10,,26,910.0,2026-07-30,2,752,0,558.3484162895927,45,5,4,5,14,3,High Value,0.0,Low
1081,2024-06-13,Asia-Pacific,Organic Search,Standard,35.0,Active,2024-06-13,,26,910.0,2026-07-03,29,779,0,558.3484162895927,46,2,4,5,11,3,High Value,0.0,Low
125,2024-07-26,Asia-Pacific,Paid Ads,Standard,35.0,Active,2024-07-26,,25,875.0,2026-07-16,16,736,0,558.3484162895927,47,4,4,4,12,3,High Value,0.0,Low
